model_name,text_detection,text_recognition,preprocessing_steps,item_accuracy,char_accuracy,inference_time,average_type_textType1,average_region_bottom,average_length_short,average_length_long,average_length_medium,average_size_medium,average_normalized_levenshtein,average_bleu_score,average_rouge_rouge-1,average_rouge_rouge-2,average_rouge_rouge-l
tesseract,Layout Analysis,LSTM + CTC,binarization,0.0,0.0,2.2911171913146973,,,,,,,-2.8892857142857142,0.0042539623924011,0.0338983003798404,0.0,0.0338983003798404
tesseract,Layout Analysis,LSTM + CTC,denoising,0.0,0.0,9.169899463653564,,,,,,,-2.085714285714286,0.0044565696358388,0.0326086910213853,0.0,0.0326086910213853
tesseract,Layout Analysis,LSTM + CTC,denoising_binarization,0.0,0.0,9.022629499435425,,,,,,,-2.1892857142857145,0.0067488171247049,0.0534759312305188,0.0,0.0534759312305188
tesseract,Layout Analysis,LSTM + CTC,no_preprocessing,0.0,0.0,2.3043179512023926,,,,,,,-2.1392857142857142,0.003195542914717,0.0105820060054329,0.0,0.0105820060054329
tesseract,Layout Analysis,LSTM + CTC,sharpening,0.0,0.0,2.238661289215088,,,,,,,-2.128571428571429,0.0043621326656744,0.0319148890295389,0.0,0.0319148890295389
tesseract,Layout Analysis,LSTM + CTC,sharpening_binarization,0.0,0.0,1.3974804878234863,,,,,,,-0.2785714285714284,0.0324387783849881,0.1562499950109865,0.0144927486326419,0.0937499950109866
tesseract,Layout Analysis,LSTM + CTC,sharpening_denoising,0.0,0.0,9.203690767288208,,,,,,,-2.1785714285714284,0.006720336928431,0.0529100483334737,0.0,0.0529100483334737
tesseract,Layout Analysis,LSTM + CTC,sharpening_denoising_binarization,0.0,0.0,9.097033500671388,,,,,,,-2.192857142857143,0.006720336928431,0.0531914847742195,0.0,0.0531914847742195
yolo_ocr,YOLOv5/YOLOv8,External OCR,binarization,0.0405405405405405,1.0,0.1129462718963623,1.0,1.0,1.0,,,1.0,0.0178571428571429,2.0378857095427327e-11,0.0857142848938775,0.0,0.0571428563224489
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising,0.0405405405405405,1.0,7.401787996292114,1.0,1.0,1.0,,,1.0,0.0178571428571429,3.088891838001544e-11,0.0857142848938775,0.0270270265010957,0.0571428563224489
yolo_ocr,YOLOv5/YOLOv8,External OCR,denoising_binarization,0.0405405405405405,1.0,7.074288845062256,1.0,1.0,1.0,,,1.0,0.0178571428571429,3.088891838001544e-11,0.0857142848938775,0.0270270265010957,0.0571428563224489
yolo_ocr,YOLOv5/YOLOv8,External OCR,no_preprocessing,0.0405405405405405,1.0,1.2349953651428225,1.0,1.0,1.0,,,1.0,0.0178571428571429,3.088891838001544e-11,0.0857142848938775,0.0270270265010957,0.0571428563224489
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening,0.0405405405405405,1.0,1.3017349243164062,1.0,1.0,1.0,,,1.0,0.0178571428571429,3.088891838001544e-11,0.0857142848938775,0.0270270265010957,0.0571428563224489
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_binarization,0.0405405405405405,1.0,0.1260557174682617,1.0,1.0,1.0,,,1.0,0.0178571428571429,2.0378857095427327e-11,0.0857142848938775,0.0,0.0571428563224489
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising,0.0405405405405405,1.0,7.100574970245361,1.0,1.0,1.0,,,1.0,0.0178571428571429,3.088891838001544e-11,0.0857142848938775,0.0270270265010957,0.0571428563224489
yolo_ocr,YOLOv5/YOLOv8,External OCR,sharpening_denoising_binarization,0.0405405405405405,1.0,7.056591987609863,1.0,1.0,1.0,,,1.0,0.0178571428571429,3.088891838001544e-11,0.0857142848938775,0.0270270265010957,0.0571428563224489
